name,ring,quadrant,isNew,moved,description
SwuGErrZ,assess,techniques,true,2,ILmvaTLKGtuKFtmwRAPBpgpvpRCuboGiTCqMszLbAakGZVGOjVcCsBGmoRU
SLb,adopt,languages & frameworks,true,0,psWVDfEgwLxUFFZbkjGORmPVzTmuFbDfYEczIQTqJXhlEZwEdXWNXU
XbhnHcN,adopt,platforms,true,2,fpdfKxbZwvwMIUrRgEvXyTwikbiPklIFYOoSdDqfeqMbjXwSbsqg
OCLIzChovO,trial,tools,true,3,cEzOfGfVdLyktRXZIRhRfRIaNpOGlHRdiGJOCJIcEaRSlPsKRW
ZSjK,adopt,techniques,true,-2,kITzAbjIFWgRJkIsicWTMfPffReIxTQgDjKYxAEizcRyvmIYetlp
CIsx,hold,tools,false,-1,lWOcCvyWGSrTMZMaXUvekuWcnGtinwjToXdwmZVuoZdpCnrtrDljeANiUGMyarHXUlGNuZbRgdePtIskJOyHctiYnAEZShRDSkvPbsv
GKKjON,hold,tools,false,-1,ixYEfNkVJkyXmuEJvttFnSFCWvHOquQZhrXEsalqIqgNkpBMTZKkarIUtYhEPboqHVXedBOYMoylyKiXLnRjjxwwQmiDVNDtoTfgfcOkkFBOBtqpwYikXiOuAZOIAkLmou
teRjMfYAnnIJY,hold,tools,true,-3,ElcGDcEpjTKcOmwOwuXJjrngfQLYxHQkxwacNHugjRBepVpclWKLXvtUDMngsoMMxzMUJ
AMOWSresQHEvJb,hold,platforms,true,-2,bXnJmXEDlHtJZFgsKvAjuJNFWOrIUUKzltYUClVjAYzRQYvNWdwWZkflu
OUcZWwLVAhBIs,trial,platforms,false,-2,zTkUfcnkAjTvtczVSnjJnUgMAvdudBnivElgsdXQvh
lOeY,trial,platforms,false,0,OEhxaOLkjBfyQjrfwFssJpyTjNZqNszWBFzxjGagEqaPYDmThQaXEZbjJyGvITJRvyBgNPEbLVeBcxLGLPocoietIoEIbsIdKBynHFjgX
RIJIdeowsUgzLR,trial,platforms,false,-3,ORlWaMgLZJIpCPovWhUMaqGetuzePRpVAcParRmcvatWWXDhTJURRnZXuMQkQzvpbbIUFhUchUPsIVlRVYkRdnnrHCtIamZREknzNlSMJPNRBrzXtxBatLiywHvHNnmCOfTZXGZtuWOkbNLgx
ykNNzoVqeyNMI,trial,platforms,false,0,kCnHDsnqqoAuTSpbolmYrlNlwPFuqzXkHgHyyCPHKbKLZjKZLpIGuNdZJdbHxWfm
EcXkEWBgApq,assess,languages & frameworks,false,-1,ZqdFHGrONYMIpsFjzZoTWthntxhrmDgCZAnWzGSVmXkixvwGaKLMpxbEgfRhLKItnkunqVTZXFNHFcxaTeQQInmnsKAWLESmWrooLNGRNPIvmsWRCljbiRryPpEzLGpcrKeDgAoRe
TuDegRgtr,trial,techniques,true,3,ehAPjmjIXNjBqMpGJmHBcFMvJRxfXxLMWHAZnfjWMFCMfYrBQIHfnGuExJbNKqamlRyYParkVuGiCqyqjmZWWvWfFYAEkvzSMxvfgJpzMrs
HiVUZduDTHP,trial,tools,false,3,tUuigCEcFXaAswEqCbUAKZSEibiqDDCInqtrkyvpLrqIBPqYIcPRYGWADOTgIsYzMELKvDEvxGQjpvcbXAFOBqwenMj
ngJjwDkP,assess,platforms,false,1,jylWwMjrsnIoaFKzwuhqNnQtFBPyN
iTu,adopt,techniques,false,1,bbgzswqlSrgWNrvfBaGVacgvqkbEjDIxoFCcsutCWKDXvbGSYYuoITDv
uDdVwZC,assess,techniques,true,-3,UDdbpOrnWEBSedUcMKxPXprwTSWomszUDCMuNWkvKRofbPtPuWjYLhrGouwSlONUhYnWDDVpRUDVoVTxqkjgnlxAObJMnSQuE
qEC,adopt,tools,true,2,iWPjerzFGYezXBVmHSAqdlGrFgosgGwOtLDkiiKibTNBJxkDHSrvnbjhUFWxwsTUJGQjJTBxpxfdPeolrmoEviJuSXtySaTWebaatYZOJzbjUyNyTNkLUhRYfxpjuBOCZMpYzMXKBZEBNn
dBqjcGc,adopt,platforms,true,1,xqPttBRAqcHiOzIGqhmmJdWbkASSoEkPKfUporSjssjVAzAWMLyfpPsMEuqzxuxOkdgxEeOomCmQCxgWobbBDOMYTkjkFObiCzzxzakZTEUXcGRKBIplQJnPUqquyVXqbjBPAKIRCXzd
YCgGoYrJZ,assess,platforms,true,2,HNFRxtfdkLoajWGqtPNAETlinSaNOCnZRNdCULhvjsYcURAnDzbBjjAPxlALyENcdfMesYaLVYqGAahHNWkmmJXNiIZbXNTyfmIPQBITEHthwzTOmxjThkiPQyUzN
EUEZWQCY,hold,platforms,false,0,nRmAYimznblTKuSesNnpQzkmOzzVMqSXwNXfrlKIUrKeiMJxmVBKeMaUUIgqiXuTbddNnxFOAUyduQfhSMfvRT
QzayKQf,trial,techniques,true,0,LWKdOolDxzdDlraCHOHtMIbyAliNHykWUCBZNFreSGCgUQezcwsKTgZJSRWzsWTXUWKEbNbnbuMNKEhoSvcUWsvYJvOIeXzVziSCdPePpIDHyrPGxFMGvyuvfFUVQJPrynIUhFApK
eosuZ,assess,tools,false,2,wpycDpxLDpHNJuTVIxrqWFZArhPzFrsqOWIJGkSbpzzPlTrCPHIFLWPKBuVnRjaasDmHROWZfraCgOVLHQKLWeFjkipwBaafaqgpPoXlpoDwRCOGHmRNBYakEhHZuCwLLLeWprlTYgt
