name,ring,quadrant,isNew,moved,description
DzVBPCwblnsrva,hold,languages & frameworks,true,0,vzhGzgiAtYNrJHujRuiKiSqUkIRVSyQwhuUMUksBijNjukaWHqtULlOYfWpbEzVrRBaWnfalPSZmZwkxRdwNCqyEVQxeCMPNWQgXjsbTXiStmKiHgjcrRkmIvOFLJ
poCJZEkoZqmX,trial,tools,true,-2,BlNrxtZbRmZpBCnYxXfiTieUjNhpbuJxqhLMGlIRUdPpJlOWGiXOegsXQdnvHVPHxieiQfW
Rhs,trial,techniques,true,2,sqTxHTBsglDjubeiGvXAaiNIjrzFxQ
dgRAWjUOLWXf,adopt,languages & frameworks,true,-1,qmqIsKHEcgnlREIPQPSjBdvxrIBzYQwlUhlHmfxYksbdzgpJCzLWUNvACtyKsdmxjqTxbpnhUmExVlDNlcXhmRNMsaymiNwJJLMiyOaTiTnMTYBsdaSVADmmDiMBmXyjHkkVDnhAFS
bmn,assess,platforms,false,1,ZwrkXggzcLvSijomqbGEMQRQdSgVyLjILk
ZpmhBWx,hold,tools,false,3,kqLUaojRipIbZLWspldIZktEOoIaFORjBwotWcgktdQzCtrPjxhytPyjIoouaftd
uNhFE,hold,tools,false,-3,vkltlpczHgMAKuzgppNxxzSQwzcEvShtPREPeKrScLVynKafbOKjjeivgvesHUGTesmalHXggYeKHixzBMZebNnibFAS
pdKSnyPJGwjjn,assess,languages & frameworks,false,1,VnapjmNnXiAYdOKYJSvKLGknwLTFNntUzkSbGqEqoQxgVNVRBXnPeNLKRnqZgtGeIPKrMomtXOAnSFXjGamnlxiGXGncJcxNwAIlLQpXfVptcCyrARzgvEmtmjpvipfDPRKNkTZARdtzsJwDFpHAtJ
JPKxJYHnX,assess,platforms,true,0,pXETRbTJkQYRFssxzxbQWfrrRQiDkfZNCNVkwSUEZcSUPAqCljlqmPtpdrPwGXAyKozaNbfMfTypHsIyKKArblarTTtbLJrNDlxdLeMvVCWnmscPjFDhnqwHaGDEd
OjslsaomZHl,trial,tools,true,1,oFhyVNqeOtHBSJtzTqoSzIiRTAZDQFDESoxpoTIzYPKLrKQWJkYS
VSWwf,assess,tools,true,1,gCExjlXBDOSyAytDMAGiZOMWARGzJGnvjliYDsWszOjSKHOMywxBmMboREkZYCZsKxqlZlZLpiAxJJvxPIWg
JJZH,hold,tools,false,-1,QZPJhVIPReprSzfIEoenABpmEYLKfyVBjgGZGAVDtcLGnfhqefEDPaakOxdSEeruDKhZUDObFqGuGvSsYRpTjwYNhSiUJzuxdRHNaufWFjjKHnHgzVS
qfBxvXv,trial,platforms,true,0,eLmenxXBWuNVJYFzWxpCKOOxDcVyncsXiGVcEheTgXPpOzDmmJSTmLmeqQpsmARbFqoyBBteeEthCVAbEJterQMuBFmjuWPLFAaLoWCsstVncSxySohmPuJzItXZuxfChLFNsvWQZaQChmIRk
drUZwJpQQh,assess,platforms,false,3,uxbjgiyWNnNPdMKlUQaDNRFlvKWEWiAYBDyjAfybnLzbTkAwAWabDrNfCpWDFzgDucfjdqDTDnPEmPcwMfOLwcGSRcUUvaEQfM
mPEQEpK,trial,platforms,true,0,vDgACfhwfGQrnksjiLwibKuDZUGGomfWcrqNDGLRquKULWBGm
QMOILS,assess,platforms,true,0,umUaMjpsjvwFONcnznLyfkTzIGNNuNHHVibPkFbGYwJQKYJdJylYjzHOlkSCBZyFQZsRRruadJzTAMlFTiBhBICtSBIYWzIkmmomZcAY
YezpvLeAMflvw,adopt,platforms,false,-3,AcgDfFSWsYwWLuNzCMLoyhTZvjbVWaIcuGvZLplAncJfTfIvuFfybmfxliTiwpTAEZTwiKtXjRaLPlQVmadDbfBydHYAbFIkqAxiYjKEMpfyqpOr
Sfi,trial,tools,true,2,ioszKBljAfobqaeznkVtPGIdZzmfIMwUTxiVwIrbmKZhtWRIxjtSUHHRTApkDqrJMRiiVou
kwaPCUNx,hold,tools,true,-3,fCdwjazZzAUNLGgTZjxqjIcJJxyxueqBCnoqjwjwYgRVIVgxtmnsbQFDJxJGcnvNXgeiVhTTvoiDXyAihfWAtgxGLroiKtqJhiNteLZJwsTgrkaNyHPfLiegkxJALWdYTHzNWzwwRmbXHs
XfjAKytdUHW,hold,platforms,true,1,MbhSViOwwTmwmrFmlkknpGbgiFYhmaKtDuwyhIdVmPaFUHlhOBeZFCMbsXH
pIOkIKmRanI,adopt,tools,true,-3,KKvAzfYzYFqPCmMaLYycmmmLDBEicnnJl
QoQHNHE,adopt,tools,true,2,BnOexiOgOTfaLjleJPuRrgztCCbstTMUdLbinFSpnicykcNlegbazymphFjtBPqaYEaxHxECRQSVcWdQTxdKXbADRhmRekpfxUmaYyglNmd
GX,adopt,languages & frameworks,false,2,OgHYWjEfkPBcjpkTjFgoeKcZrqrBJVPeurYVtCUElLTkJrFGwZMDBPBAYqbQgZBGfwsckJUPEzNmqAzfVEAKsvBBbgePdcBm
owRACpXpkiLfWU,hold,languages & frameworks,true,-3,AtkBpcbguydiTYvyhluIARPMAsWRKSPoDyhsrMMjKTbZtiYrCFLnWXBdvHDoDVBVtjMoYAFLPCAEOjLxNWKPRZRtbimiZIIppKuPMNzRIHfLpztKuWvZAApVWnlUignBrJmO
ld,trial,languages & frameworks,false,0,wCiPmdlyBGIYoxRoJmjYGQQYjQOsuNiYoztictGZhFWIcmNHYRsYOqCLMHfaezGkGMPu
DhHxUx,adopt,tools,true,-2,tUqaBedwbEaEyBSFCvjyOmiycrPBnGhBvYmhktddKqKfSOHlwIAmXrnh
MrkvhvXZF,assess,tools,false,0,swxjjjENbEFqIWarBmZqnvmfrjJZObswcWRhUqSerBQaIfmAALKsiFsBFYmARjKUHNDBeCUBzgzVtWuHSgbHmOKIdPzOlxeNNTMWhKzTEmCagIt
Juol,trial,languages & frameworks,false,0,TKgMMgjirwjzqqQKHzpUphJdaymoYqlPZoscatmqHTfMqIxkTTAzmUAkaHqHTqfckImYDOGOyvFeONzgEH
pDvOjJjUubgrsh,adopt,tools,false,3,efIcqZHpfurIrNClVTkMDbcBeKvJuuyzYcYxnDDCGcvBdIFvoSweSxLyJjoaBpMFacMOaQdahbrdmKjWasGcjZYlsui
qUBbBO,trial,platforms,true,0,DquuBUfrpwcpkcmokuwvAuGaPuepsTpJcnHTxTMqIHmtGOVYdIwuGOVEdiuiwSkQeTHJYsfSmqqPQYqHvgYck
uC,trial,tools,false,3,WkLHpZpSBDFvjyMgekjXiONwhaPaPiajCkmIEOTgHPXVveqWSkpXWrkRrYZftmPOoyZgQUxpVEiYRMjrN
