name,ring,quadrant,isNew,moved,description
AtpqSbQGvm,assess,platforms,false,-2,TrJDsAozkdQxQQVFQcJBdjHVhlACkzmmuIMithjJIzWvzHdwOTVaRhAPjQgVDcjFKZGlTnuITqscNDagJYfHFQHegWjaFpdjCifoRJ
aDnULqaw,hold,platforms,false,-3,FKXrTlkOSseSABrpgASnxJbQrFlasikldcyxFNnrkqLQbKACHxRBdQNqBjlrJwfYngWcmuWeJcREMoVUrPkveaYxcoXHwwYzEerfaPqtR
WC,adopt,platforms,false,-3,KzsmJfXsdpkfiZNiAvigGEsBrIqvCvWGAYqLSOxNiWDyzloqlBXbmgNHjGsXh
CIlwWadXNbHKbAk,adopt,techniques,false,0,QUUfwJiwtNaEBSAfiSzLVfGtCAxzFGMlQyYMrvtwTcGdgYkFTMvfOyhOZiSZivCZaAmVcFQoZQKwkwtir
AdGpmASeOULbIC,hold,techniques,true,3,jLwhOYbFHXCDUivQxJlZjijFggPOxGQcIKVjosRdnpkTeOiNDIvLPhIjGvffjKnvzpxfjXsJmMvvitZwYWVHPoUgVEBHxBdqN
GiIHIAkivZtLxP,assess,tools,false,-1,hptIJezdFvUjjIhdzeqNlRdGpDi
VhY,assess,languages & frameworks,true,3,VEGUJynHPbdrcLqGDfBTOXyvLKRhvUIyLqxRUQRuptQYdVYNzucHrRcCdGMkSlbQqb
KUIIwd,adopt,platforms,true,3,IozfVHjVSNSDFaEYcMrBlrDaXOkiOlKCHAMdhHipkhSmoDsMx
AtvTEn,trial,techniques,true,0,KSkFYAWnGetSbErdXtHoLFFMkEMOssQhyGWPjWEZRXioUEhWuUjzAUiIPzuMbFxmJdgzYCezIyuZZkbqnFAybtwElkFwrUqxgPLLBGmPTHECHxQlZCaCAzbFuvzD
tNyjokOJPF,hold,platforms,true,-1,vcWjmaYvWYhDJLFWnCxXAxnrdcOCfhagNfYwUkEGkOpftnlJatQxXRTr
dLdvFv,hold,tools,false,3,yCtUXfMKVsXIJoQPeuQCgljpbaXhIeStLmLNDaUdtxvcnEUBvQI
cHHZliKdhxUcyA,adopt,platforms,true,-3,PPsaWMMaGNugxdUsPSwtafOlndPMicpSTMrSGkEiwjdUUPhdkWbduTyzpwPFkhmcZfwxICfsRWsXYcInxHqRhCiIbvIdpFtOxHoLmaIQTGPAHixJfpqiWgfwOaqOJsHymWYZ
ulPr,assess,techniques,true,-3,ySBxFygydGaRNZhvdqQgJHhjmkaWFZWDAWpzVHyZsyMmVxvwiUmJbBMcTxJATCvsMMoShqiTsMkXoGmmkNVumz
gbYR,adopt,techniques,false,2,UUUOVwkWuxZXEVqYeqAXUKQDZMdLxswWIQEqYUCGwUBmUjyboqOpibzhYpaCMlFgylLJQKeXAEXWMyXKxSMujQeqbdfCVkkws
upXQIUFP,assess,techniques,false,0,HfbrVQbyVvoXWMhQjgIxdZdQuyTyRpqNwQcbyYPxkkIgQNKurQzOqdPcWAKKHZsKrnGEOVSSDPRJGOXqHrmjULGcLMhkvYqLrDM
Diptf,assess,tools,false,-2,LANTOCZHwgUkQlQKWCxcrVeROmfInklIvbHHKjkwSDmNndHIMUqqTnJwpyIDeYkigixXAfVIaKtBgulHhCSjIdOEZyfHPTsNeidyoLdYPQOXrytIwccdEnwuwibVkXZcvHZsNUWBKOyRbvWjo
Mw,trial,platforms,true,0,UcUuwEqpfHOyPciEYmXUrWuTEJCcETiUeBNbnbafdrLllblMXotCFonqqBRjSCBySYbYhVjvOxmGBDkMyWVwVLXjURijnyEBKQacRhWsutDKSjQFOswMWxTjDHIhtlZAVtX
IUw,hold,platforms,true,-2,CtrloPZihPpbtgihPnjObETVDkYSjmkEZpABVkmzqIYdBVvAbQfmlqhIpAoRho
bE,trial,tools,false,0,WfSnNUTZSnisBotKApauGvVBgpuValyIMQeHBSJsjbPyfcMEXJNRfmmOqhvhjFcOwSWxr
NbcWTNHhA,hold,platforms,true,0,FtBFQnPqwFrYYMnkKgoabwUZumDjxZuJaEBXmllHVFBuVKLgbYMwKsWHJsgcvFBtqQjnxKCVAhrxEqWBUQpylvBinuCopJuPvAdtLpCojYAGARCdlFLNniYxgCqtKICXKQ
PiWnluCZv,adopt,tools,true,-1,ImNDqSpBljqjzWfoDQKuZwRYBYHTHFrDUDTlidiKyDERIqlUzxaxM
CZKlmVwfAcx,hold,platforms,false,1,ViItFAUVJkbkkjLcSlowdGpHycOFXBwChyRxlqLHWKIwOXjvvchliANBFkOsZmLSFfooCKeosZAHTDGAJetmtqfCjZjTUARJEtpETRZfKLOauKNQPQCguiJqaCopIhHqmmNRumLdWUV
MAbUKN,trial,techniques,true,-3,ZCCmTwxyBYJQOMbrHyHyrfiaYtLOoXRnyXLjFUSCAwQuvjogslGoJlPJEQbzNVsuuexvHiQyKPBrsLyqwhCZjJEotQcNcZbINEMSlAVOiecQyBGuwKnGGCzTEzc
SSpk,assess,tools,false,-3,QceCkmtHZuCyTLnnclBwtFFluPYBCNuPCgBPhjogklDndspfHSscJxYHvSxOyJTJhTiPpDCcEdmRvgSKpFzijKWdFTZWzeiLqNeSqfLGyUfEHtXYkRUGRtArWYfHzCYK
dNGGjeKXtLAQZoE,assess,techniques,false,-2,lHYbaQfLJmkzNiptbtlsAkWSMfwfUCwAZKBgytklYJETDUgSsNtELuUnEeCGUQowagH
MpL,hold,platforms,false,1,eDZaiFZWbRYoreSUNLPUOphljYZnVOkALAKQHLoeTUSOUqbyFdDyEHllCKxDMXwhaKVAImgtmZxdKyihIduQtyqFafFXQmXdAHTyDKeIeZyhFTkHeoTSQyrtEARnUvYcpZvmJtqhUi
fbQciRjLWxLuJh,hold,platforms,false,1,gMnDbNVIsKuDayfselODHOvBFefmVtFTKDkIOlfFMejHkYkGGSYQTAFkscRXlHXQqPxdNRpBtRfWwTczbyfOFJXMIMqHvvSiHgbGBQlrPwSELGLRFbaDBUEHmYRqKjOCUNcniurJLLneNYqvtnvVQT
NpJ,trial,languages & frameworks,false,2,VThfjLgXjMRtANEftubgeTtUsBViyIDMaGcezmAouzGyDEqIsvskyVutMtclvQCzOAHceFuvN
WuEcoqTBhmdDPM,assess,techniques,false,0,UfGjUWKhnYKoAZVnrSYWQiqkbvVfqjuwwKHMrsFFqFKldHidDPuymNCicILefmOzobOBPJFAvuRFKsbrZTbFoiyrSCEgILbfkdvnFzRoHLXHXFuUn
gyhpwjvNFbS,trial,tools,false,-2,RFagWaDHFpbANeOLJMEdDuyadhGkeVkJyrsqtlMieeKlpyldywJrOFmeicMigcupnzbnQguXyWzeKrEIycHazhAcED
HKzPuglkG,adopt,techniques,true,2,YBtTXVygwqjjjLuCvuniblhqxTbYzRhrtCAMieXcBWKlzUuwzpuHbOEmzmQpyDPSZbAKiqCwaXRCwrInhUbKzSsFuMwftzbMoSwT
khKNhNbtKQo,assess,tools,true,0,AxjudawlNDebhPhYWIRJwPFrsGyVDzoIGakJNKAkyatbQumkjouLEELwKW
RGFXwi,hold,tools,true,3,BBGbnEAzbtryJOdmEJlyeBoxmewGTVtjidePxuVxRWMDySZztIcBUcmmQlUwIAuRiYCvklX
fiTM,adopt,techniques,false,3,NZoGBzVCiwPHKAYKNFmjaCCRaYcLV
yXLzQEgsknwmW,adopt,tools,false,-1,nxbsATTXBjKEBWeazhdpkPqMmsexmpmtQxVWVwYRshQDTUmjGFLozDXpfuyuneBKayRmjqWzdCTRePPmWxDPQIQUsZJAogPapAIVraTMryqyoSkKdEMvBxP
