name,ring,quadrant,isNew,moved,description
XKXAVaxX,trial,languages & frameworks,false,-3,wqEoYSaAiZNmDzpJgafAmJeQGhTySkNcglQSDAYyiEjQbOhRyofjrRkLSVALwddiqzVkazKfLsXFzIZxcKNaCysQpAVenQgtEphBhhrN
AaG,trial,languages & frameworks,false,-2,HVbdWzUlTmbKgFVfDjTUUutbLALRtVIVXqLOXcxdtUDiJEelEBEBanMPOezKMlrqylagxGQIOEKtSPDWJugfkgquYfutgcHQpadgRgCWLUJGeOpcLPRLpqczvzCHjMcyF
kKsEviDOEfG,hold,techniques,true,1,HUEkfEdEMEVGYnVdXIfrycLsnvyaeENTJOEcbcEyPcLURIyWPJlHPEiPFvrrvTXqiOlHEMWWPgzMGrdmvW
Vl,assess,techniques,true,0,csCziGjFmuGigkeRZEzqtojqOoCHKKCCCWizclBhFAGhntBWMDJeoZLN
qj,adopt,techniques,true,2,CggOohfnPyLNhuNuTyWUpFMqXRPLGQMjJPZqxGq
sGJcuFQMYdJUy,hold,techniques,false,2,bDSoemegxkapWFqcLxKMgfbntRcuproQkBsdsAHRXXWFQCDIblLDzBvxtFGGOUCxIJjqJyKTIPwsOAxiwDhIRbqSnZeEhBdxrybZzPFAdYpMtzpvInHjZsRyVcIknFLhFioMQYlzK
lgteNQJkG,assess,tools,true,2,phwisleWHZlqwakwPuLSxXlJFojAPxEjSzxNrXDXaoTdaZEjrWCZLXSiseHECkEqYqtRzhQXErkp
zOgF,assess,tools,false,-3,IPzADEOFLSyGhKGGAnSkUuMQYYGLFVovhzbus
KADEyc,adopt,tools,true,1,VaaeSLBiNoVKOiGWHrSLdstVOQSnoHeOtvLhtdcCoWxNKzmWaNBhrmvfBSVVzbZrOsOwbeQmDZylNrjfWerBsUjQgYAtJyrFqpjuUBDEtTrtakSthtgNvnrQHzKCs
KbvLlHSL,hold,techniques,true,-2,agNXbBXoneHZoDLtOzjBnIbabwwNQfGvwRoAUwuBu
PEAxADsmFuKLaRF,assess,languages & frameworks,false,0,GxlHfSjHtibRnPqVbXiPXvdfqEQfInrkqYJYaap
iRGvYFGaHpZqZaQ,assess,platforms,true,-2,xoYtIBAQCSZDVIsVaBOJroQlxmojTVbWbHEdDnaWi
cDABR,assess,techniques,true,2,HgYMEOxFzCXKQrYTiESiRVmn
glaouA,adopt,techniques,true,1,QqNRVLzbtaDaaAXOtiTCxwHSyPchjonZvRxrOKbRqIriOdAfLWFVKReILkyODyZubTxJomDZTlWU
kUyWHUGO,hold,languages & frameworks,true,2,wgZPQCkEAWGcpzRQaBTxGywbwzEoCeALovgEhiTSYFTzAEiarheqifYzwYLCtyQ
vfpNo,adopt,platforms,true,1,RCszgzFwaJPwixvBzOufngLZMkxjdbuXZKcOxswgFjCExPuMmmcNfnDPedOYXYpywjjYeqPVVeKvjUwKSnDuaZedEwISDKufw
ToizzPYOyzL,trial,tools,true,1,zEANILMyxtdhURXhgRjBLhKzIrzkWTcotzrgCJoCVdtyjZqLeZCIkXscqljxJeqSF
sPBDZQhRZRYbXuC,adopt,techniques,true,-3,udCfKDhLCyEeRMblwRiUBCsLFGgkeEPVskAfXKMPRoZ
SffTjT,assess,tools,true,-1,jDEWDDVghIWSjGyALwxWBfVgcGFfVhAaxlNsvVoJXHEdSZFiZRluTYpfOJtHOgM
xkcObpwmjSdi,trial,platforms,true,1,BfVPDujxoeUZojjWkKLzkwjIeldabriIRsQtqzkEmFOyclSLimBvJlcyZFjcVKFKyOvyDuLqQfzGWOrlnzWXOhdOTyAjLjxIuhRJhvReOjzpTGtHOPqsctMyRMZvKWWVHchwSNO
BgEJab,hold,tools,false,-2,MRXcerzofEXvLmjJRxkfvPlSannSlXsXNhBomnJgDKhPgHOqpwHtdjCnLtIuYGGpRmPxsnArTmrrHrDHdDzkpnUxlDvuLWP
YVODfYqE,adopt,languages & frameworks,true,-3,NNNPAiiyhioXIQmwsLNtYQjziCrXN
yd,hold,tools,true,-1,QUvrsmXRwhAoZErpWGzDnoeJeVUjOQBCmeHPrhbrxUvBanXUIKSzATzLckbZIO
Sn,assess,languages & frameworks,false,3,WKeHbJLMjIujteKXCRhjpmKsaKnwIVLBTxjGVZCzIUtwkHvPPUGabWSfbxeFIxUgUlJiqrOEStCirQX
CbNjbzKq,trial,tools,false,-2,IvOINjzMndVJLsboQFifasUoYSogbLNSYhgLxmmMhKAoMvHRUnVIMmLPoVqgLDtKcFNCJmohxRIFfbAsFJJAxcqTLwsGqQQsAfffbiBtUBceXMtXQzHNurxNhKjPoSnQynLIRD
ceWwDfydBlBF,assess,techniques,false,-2,HnwVQBDVRjDCvIAJPxJTxTolHTVwmkgAVCvIrVZCwSwSYvrQChAVuFgwjrunjiUvhTqPf
xRBQBZ,trial,techniques,true,-3,DQWyjcTMinslpIZiixNWtqjdBBCZLdWuvvzXDRGRcpOsKppWXtHlioaJfepJYHAxYGvnDPyGeNazyqLJwHJTJWBKFgjehmeFFcDUQXUbHGbUhoiKqsCjLlYbk
heKSDwrsYwaXzSg,hold,tools,true,-1,UUCWTYqPOxKuqNgYVkmGzMnhMIAfzHCCnwpRFepUsrIyPRCUOXymITWIWgyEqDfqoILjBvdeORiiQPWzkhClDcNeywNupIfXnVrMKJYPfoOZikCkTVVXkdGSiSHbxtsCs
dRwqNkpyW,adopt,tools,true,2,PrrMxxTRFaLdXQJBcxPvOVtimzCNbPkcOTeCYdyqeaTpwgVPBLAhTsbAVvROYinafffdCeZQdZF
SwlLb,assess,platforms,true,-2,mthjrMntnzynlWplasbcTXiEzQJhaoVkBcrmxdBRpJXTawiaUFXlhXXqIrFDJbJYDs
NeNIv,hold,techniques,false,1,yWdCTxVnHPvmgPCpUKZTSztYH
ZaOGudacvCcNqwa,trial,languages & frameworks,true,2,IlFdCkNHDcpaXyLpejCzyxyKGGxeQfRYjwZMpUrSSKSXwMeDYToVRMZKZWUbwUkNTVjUfofLXjjjqYkzgGqdnljckeUXLZNIJWEzzEJIbBiMgzvJIaMOOmRFRZUJdLbxggPIDgoBYIeFShm
JtslYQbtkSReI,hold,platforms,true,0,SnyIcSCBAlPYbwiYnGExBjNpbktmguarrUPBA
oFRTVbjAwqz,hold,techniques,true,-3,NQdeMOYlGzDgXjMKtJoAgdDQTaRomFDBYBhRrtqnjFnVzKTrHuYssjcUsyfygumDNZVdUvYDmwuWTfZqpuvVknzrPbQYuZfGDHYihLFYxSZsEOljjXDyjwoCpUMt
pHBPx,hold,platforms,true,1,mzDHXRIogICwxUVqbkmGzVKFuImHcTdDrkVneJxltiOFGtsjkpDqiRwLCRpokddbnhqBLJkvkThuCJmTtAIsuYIAXktVqHYLiZBRUFDQLWXrEdNFbOOWYETFXk
OdLX,assess,platforms,true,-3,hPvJPxhZjVMBFthBWSwcwMDWymqlwWPntayngrvkYgdWGNdHWeUozbQzNzwYvGaNYwFfHNLIxuPVPWWolxgwPFOgREnxQsFYVkzpnX
tSChGZCoRR,trial,platforms,false,0,qOGRGgXCfJeVIoUnlitoffykhmuLuXiiaznOPSWNuxJpFNeopmqgSDaRZiSKwUzFrig
Lct,hold,platforms,true,-2,DephaoBQttLNRCLwsUSuqGqzojOmnbkRMoQcBXDXtz
pVh,hold,tools,false,3,llmcaokNAioPrlOvqIRBadEvAlvpUAAfAaVndyuyeTVXWasnWGbbhnRdCVSSmSvWwNriBjNtdqNPMNJVSLFSlLwOjLhUBTp
dWFUGHUjmTRE,adopt,languages & frameworks,true,2,DeNPlNvEpqKUcIvIorzWMOSeLdblGAcbyhLMMriVlUZAkHBCbAZtkHVfUFMHvIXkTaQpk
LMRYlpd,assess,techniques,false,-1,ohZttxJllwJJSdATaPsFlDVPHOnTPCsXPVnohaHeQNbExhMaJxNtvlBxtULOdMdTNZZHSuvxgTVToYeERhTfxaMOrXkQFfYDbmjsTFsZNe
ORBxLkjbgstWku,assess,platforms,true,-1,VWeyUesQEeojKuyDjSlmukcYOXPdPekXuFTYdAmliCXSl
gd,assess,languages & frameworks,true,-3,MPxlKzCLhaABhJTtkFhOhJmjPLrPDTMhAZSrfWgSbCDR
